Size,CSP Path Length,CSP Time Taken,CSP Memory Usage,RL Path Length,RL Time Taken,RL Memory Usage
5,3,0.0125483,8.691928,5,0.42,52476
15,5,0.0149705,12.324304,23,1.56,52692
25,31,0.0264754,13624.272,41,2.41,52732
35,189,0.0504123,13854.6,33,2.36,52772
45,385,0.1140375,23686.088,103,6.18,52924
55,883,0.2224756,47826.784,N/A,21.05,53228
65,779,0.3070878,66045.064,5,0.4,52364
75,725,0.4824123,64616.464,85,8.41,53272
85,429,1.2390332,206209.072,N/A,22.65,53208
95,775,0.6181151,95940.288,385,20.8,53048
105,237,0.1414343,44906.904,N/A,20.51,53268
115,1153,2.8849482,571280.384,N/A,20.82,52880
125,2207,1.9307304,446417.984,N/A,20.41,53692
135,1935,5.3970906,467968.992,N/A,20.73,53652
145,2845,3.9961035,777228.416,N/A,21.06,53560
155,3067,13.6618017,2025940.864,N/A,21.08,53708
165,493,0.8841495,269999.168,N/A,20.11,54148
175,2245,13.6013149,1097147.648,N/A,21.01,54100
185,5325,26.767407,2554897.152,N/A,20.92,54132
195,7691,25.5085239,5052180.992,N/A,20.85,54504
205,7235,34.9948211,4563559.424,N/A,21.65,54196
215,2549,11.3362358,4005557.76,N/A,20.96,54712
225,1023,49.2342707,12712168.45,N/A,20.43,54900
235,8167,40.2563064,6696100.352,N/A,21.05,54856
245,6075,75.8756731,12245105.66,N/A,20.22,55404
255,8097,41.0211563,14666722.3,N/A,21.23,55688
265,9415,58.0503016,15315657.73,N/A,20.69,55872
275,10217,59.8128569,15368540.16,N/A,20.28,56248
285,3293,19.6668813,4052617.728,N/A,20.68,56504
295,11063,143.4064528,17374568.45,357,18.88,56752
305,12619,112.3534874,17285484.54,N/A,20.33,57380
315,2415,17.9483529,4523416.576,N/A,21.37,57380
325,13693,137.4000611,24939696.13,N/A,20.2,57716
335,2847,18.7191763,4038628.352,N/A,20.64,57848
345,6807,607.3551285,28047468.54,N/A,20.79,58004
355,10275,119.7228921,21051107.33,N/A,20.69,58088
365,N/A,N/A,N/A,N/A,21.01,58772
375,N/A,N/A,N/A,N/A,20.14,58944
385,N/A,N/A,N/A,N/A,20.83,59756
395,N/A,N/A,N/A,N/A,20.52,59384
405,N/A,N/A,N/A,N/A,20.9,59716
415,N/A,N/A,N/A,N/A,20.49,60272
425,N/A,N/A,N/A,N/A,21.09,60512
435,N/A,N/A,N/A,N/A,20.39,60264
445,N/A,N/A,N/A,N/A,20.65,60724
455,N/A,N/A,N/A,N/A,21.46,61720
465,N/A,N/A,N/A,N/A,20.5,61328
475,N/A,N/A,N/A,N/A,21,63628
485,N/A,N/A,N/A,N/A,21.07,63248
495,N/A,N/A,N/A,N/A,20.87,62624
505,N/A,N/A,N/A,N/A,20.81,62940
